,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
10,7300000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850,28.72407532,77.09558105,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Flat,"


                                3 BHK semi furnished first floor with a covered area of 1450 sq ft and provide a excellent view the property is close to metro station and near to main market the property is located in a very good and area there are more than 20 C.B.S.E. reg schools in the radius of 1 km and more than 4 parks in each pocket free bank loan facility available with Guaranteed lowest rate of interest.
                            
more

",8588.235294
15,9500000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000,28.72143555,77.10701752,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by the sovereign school,Individual House,"
                    
                    
                    
                       3 BHK There are many facility available in sector 24 and very near to Rithala Metro Station and near by reputed schools banks market and malls and very good visitor park in area. And very good transport service available in area.
                    
                ",9500
16,15000000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450,28.72721291,77.09606171,4,3,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Individual House,"


                                4 BHK this property is located in a very prime location. Near to market hospital college and other basic facilities. it is a north east facing SEMI furnished 4BHK house.It is a 4BHK property. Bank loan facility available on this property has elegant looks situated almost in center of Rohini nearby vicinity is good and surrounded by good and literate peoples. This sector is full of all facilities like park parking transport Electricity water markets offices schools 23 reputed school within nearby vicinity and hospitals. This sector is known for neat n clean environment excellently designing
                            
more

",10344.82759
37,3500000,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",850,28.55985069,77.24765015,2,2,1,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It covered area of 850 sq-ft, it is a good location property. Please contact for moreDetails.
                    
                ",4117.647059
38,4550000,"Krishna Park Colony, New Delhi - South, Delhi NCR",950,28.50809,77.2314673,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,The proprty is located nearby vishal mega mart,Flat,"


                                Devli Khanpur, Khanpur, Delhi South, Delhi  NCRWe have 3BHK Independant flat for sale at Krishna park, khanpur. Very good location nearby school, hospital, bank & market. Property type registry. Loan option available. Contact for site visit soon as possible.Additional details 3 bhk spacious independent floorIt is under cctv surveillance.There is also a lift to make the living more convenient specially for old age peopleEach house has a dedicated water tank.The house has muncipal supply. power backup available.24hours water supplyThe kitchen has been built with modular fittings..
                            
more

",4789.473684
39,4000000,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",700,28.558586,77.2511855,2,2,,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It is a good location property. Please contact for more details.
                    
                ",5714.285714
42,2400000,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",540,28.5922718,77.0836792,2,2,1,Ready to Move,New Property,,Semi-Furnished,0,Palam metro station half an hour distance,Flat,"


                                Are you planning to purchase an apartment in the prime areas of New Delhi? Well, here comes your way a magnificent opportunity of fulfilling the same. A 2BHK builder floor apartment is available for sale in Palam Colony. Currently, this apartment is under construction and possession will be given in October 2019. So, without any further delay grab this golden chance.Property SpecificationPositioned on the advantageous first floor, this 2BHK builder floor apartment perfectly meets the requirements of modern-day families. Facing towards the west direction, this builder floor apartment is blessed with ample flow of natural light and fresh air all along the day. Hence, residents need not completely rely on the artificial source of light and air.Sprawling across 540sqft (super area), this thoughtfully designed apartment incorporates 2 restful bedrooms with en-suite bathrooms, an airy balcony, a living room and a kitchen. Moreover, of the 2 bathrooms, one is styled in western mode while the other is Indian.Offering the views of the internal roads, the balcony present in this apartment comes attached with one of the bedrooms. If you are fond of cooking then the tastefully designed kitchen of this apartment is the place to showcase your skills. It is loaded with a shiny platform, stainless steel sink unit, and stylish cabinets.The flooring incredibly topped up with vitrified tiles is sure to impress you the moment you step in.Another advantage of investing in this property is that the prospective buyer is benefitted with freehold ownership rights. So, hurry up!!!FacilitiesSafety of vehicles is taken care of as this property is endowed one covered parking space. Also, to help residents accomplish household chores without any hiccups, uninterrupted water is supplied.LocalityConsidering this apartment to dwell with your family is undoubtedly the right choice as this apartment promises its residents a relaxed lifestyle with easy access to various social infrastructures.Local market and daily need shop are only 5min walking distance away from here while Rahul Model School can be reached in 2min of a walk and Govt School is only 500m away. One can easily avail medical support as the Divya Prastha Hospital, local clinics & nursing home are within the vicinity.Residents can easily go to other parts of the city as the metro station is at a radius of 400m and the railway station can be reached within half a kilometer. Leading banks like SBI, PNB ATM and ICICI ATM situated at arm's length can be accessed for banking needs.
                            
more

",4444.444444
44,9500000,"Patel Nagar West, New Delhi - West, Delhi NCR",1200,28.652429,77.1643181,2,2,2,Ready to Move,Resale,,Semi-Furnished,,,Flat,"


                                Completely ready to move in with your family members, this well-planned 2BHK flat situated in Patel Nagar West, New Delhi is up for sale.Property SpecificationsFor the well-being and happiness of the residents, this flat is constructed as per Vaastu guidelines. You need not depend on the artificial lights during the day time, as this flat receives sunlight and fresh air, thus promising a pleasant atmosphere.Semi-furnished, this flat features 2 bedrooms adorned with wardrobes for storage purposes. There is a spacious living cum dining room and modular kitchen with a hob and chimney for hassle free cooking.Furthermore, the flat is impressive with 2 balconies that are individually linked with both the balconies overlooking the trees and road. Superior quality marble tiles have been used for the flooring which is easy to clean and long lasting. There are two western style bathrooms attached to the bedrooms. In addition, both these bathrooms have geysers for 24 hours hot water supply. FacilitiesThere are no or rare power cuts in this area, which is an added advantage. To ensure more convenience, prime amenities such as covered parking, uninterrupted water supply and lift service are available.LocalityFor all your grocery shopping you can find the market at a short distance of 1km from this property. For quick medical help, clinics are available within a range of 1km. You can find well-known schools within 500 meters and banks/ATMs within 1km from this abode. Public transports like autos and cabs are easily available, hence commuting to/from this place is quite easy. Also, the Patel Nagar Metro Station is at a short distance of 1.5km, thus ensuring great connectivity to the rest of the city. 
                            
more

",7916.666667
54,12400000,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.6016823,77.03193279,3,2,2,Ready to Move,Resale,2,,0,near by vegas mall sector 14,Flat,"


                                Its a 3 Bedroom 2 bath ,  flat is available for sale in Dwarka , New Delhi. It is corner building with plenty of sunlight and airy. It is located on the 2nd Floor. It has a covered car parking. The flat has Mosaic ,marbal,flooring. The flat has 24 Hours Available water supply and No or Rare Power cut.. The property is fantastically located and is much sought after. The property is available at a very competitive Price. metro and market walkng
                            
more

",7515.151515
57,12500000,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59344,77.065951,2,2,2,Ready to Move,Resale,2,,2,near by sector 9 Metro Station,Flat,"
                    
                    
                    
                       for sale satyam apt sector 18 dwarka new Delhi it is 4 bedrooms 3 bathroom 7th floor total floor 9th and good socaity and more information please contact
                    
                ",9615.384615
